英文单词名,中文单词名,单词中文描述,所属单元,单词难度等级
glycogen,糖原,动物体内储存能量的多糖（主要存在于肝脏和肌肉）,Chapter 1 Introduction of living organisms,中
Peptidoglycan,肽聚糖,细菌细胞壁的主要成分（由肽和糖组成）,Chapter 1 Introduction of living organisms,高
polysaccharide,多糖,由多个单糖分子组成的碳水化合物（如淀粉、纤维素）,Chapter 1 Introduction of living organisms,中
Electron microscope,电子显微镜,利用电子束成像的高分辨率显微镜,Chapter 1 Introduction of living organisms,中
electron micrograph,电子显微照片,电子显微镜下拍摄的图像,Chapter 1 Introduction of living organisms,高
millimeter,毫米,长度单位（mm，1毫米=0.001米）,Chapter 1 Introduction of living organisms,低
micrometers,微米,长度单位（μm，1微米=0.000001米）,Chapter 1 Introduction of living organisms,低
turgor pressure,膨胀压力,植物细胞因吸水产生的细胞壁压力,Chapter 1 Introduction of living organisms,高
Cellulose,纤维素,植物细胞壁的主要结构多糖,Chapter 1 Introduction of living organisms,中
partially permeable,半透性,允许特定物质通过的膜特性,Chapter 1 Introduction of living organisms,中
diffusion,扩散,物质从高浓度区域向低浓度区域的自发移动,Chapter 2 Move in and out of cells,中
osmosis,渗透作用,水分子通过半透膜的扩散（顺水势梯度）,Chapter 2 Move in and out of cells,中
active transport,主动运输,需要能量（ATP）的逆浓度梯度物质运输,Chapter 2 Move in and out of cells,中
Dialysis,透析,通过半透膜分离不同分子量物质的过程,Chapter 2 Move in and out of cells,高
kinetic energy,动能,物体运动所具有的能量,Chapter 2 Move in and out of cells,低
solute,溶质,溶液中被溶解的物质（如糖、盐）,Chapter 2 Move in and out of cells,低
solvent,溶剂,溶解溶质的液体（如水）,Chapter 2 Move in and out of cells,低
solution,溶液,溶质溶解于溶剂形成的均匀混合物,Chapter 2 Move in and out of cells,低
scent,气味,挥发性物质产生的嗅觉信号,Chapter 2 Move in and out of cells,低
visking tubing,半透膜,实验室用人工半透膜（模拟细胞膜功能）,Chapter 2 Move in and out of cells,高
partially permeable membrane,半透膜,只允许部分物质通过的膜,Chapter 2 Move in and out of cells,中
fully permeable,全透性的,允许所有物质自由通过的膜特性,Chapter 2 Move in and out of cells,高
dilute,稀释,降低溶液浓度的过程（如加水）,Chapter 2 Move in and out of cells,低
swell,膨胀,细胞或物体吸水后体积增大,Chapter 2 Move in and out of cells,低
burst,爆发，爆裂,细胞因过度吸水而破裂,Chapter 2 Move in and out of cells,低
shrink,收缩,细胞因失水而体积缩小,Chapter 2 Move in and out of cells,低
turgid,浮肿的,植物细胞吸水后饱满坚硬的状态,Chapter 2 Move in and out of cells,高
turgor,肿胀,细胞内液体产生的膨胀压力,Chapter 2 Move in and out of cells,高
elastic,有弹性的,物体变形后恢复原状的能力,Chapter 2 Move in and out of cells,低
inelastic,缺乏弹性的,物体变形后难以恢复原状的特性,Chapter 2 Move in and out of cells,高
concentration gradient,浓度梯度,溶液中物质浓度的空间差异,Chapter 2 Move in and out of cells,中
dependent variable,因变量,实验中随自变量变化而变化的变量,Chapter 2 Move in and out of cells,中
independent variable,自变量,实验中被操纵或改变的变量,Chapter 2 Move in and out of cells,中
net movement,净移动,物质在扩散或渗透中的总体移动方向,Chapter 2 Move in and out of cells,中
water potential gradient,水势梯度,不同区域间水势的差异（水从高水势流向低水势）,Chapter 2 Move in and out of cells,高
high water potential,高水势,溶液中水分子自由能较高的状态（纯水水势最高）,Chapter 2 Move in and out of cells,高
low water potential,低水势,溶液中水分子自由能较低的状态（含溶质越多水势越低）,Chapter 2 Move in and out of cells,高
carrier proteins,载体蛋白,细胞膜上协助物质运输的蛋白质（参与主动运输或协助扩散）,Chapter 2 Move in and out of cells,中
plasmolysed,质壁分离的,植物细胞因失水导致细胞膜与细胞壁分离的状态,Chapter 2 Move in and out of cells,高
metabolic reaction,代谢反应,生物体内发生的化学反应（包括合成与分解）,Chapter 3 Biological molecules,中
protein,蛋白质,由氨基酸组成的生物大分子（参与结构、酶等功能）,Chapter 3 Biological molecules,中
lipid,脂质,包括脂肪、磷脂、固醇的疏水性分子（储存能量、构成膜）,Chapter 3 Biological molecules,中
fat,脂肪,由甘油和脂肪酸组成的储能脂质（固态）,Chapter 3 Biological molecules,中
oils,油,液态的脂肪（如植物油脂）,Chapter 3 Biological molecules,中
carbohydrate,碳水化合物,由碳、氢、氧组成的能源物质（如糖、淀粉）,Chapter 3 Biological molecules,中
monosaccharide,单糖,不能再水解的简单糖（如葡萄糖、果糖）,Chapter 3 Biological molecules,中
glucose,葡萄糖,细胞主要能源物质（单糖，C6H12O6）,Chapter 3 Biological molecules,低
fructose,果糖,甜味单糖（存在于水果中）,Chapter 3 Biological molecules,低
galactose,半乳糖,单糖（与葡萄糖结合形成乳糖）,Chapter 3 Biological molecules,高
ribose,核糖,构成RNA的五碳糖,Chapter 3 Biological molecules,高
deoxyribose,脱氧核糖,构成DNA的五碳糖（少一个氧原子）,Chapter 3 Biological molecules,高
disaccharide,二糖,由两个单糖脱水缩合形成的糖（如蔗糖、麦芽糖）,Chapter 3 Biological molecules,中
maltose,麦芽糖,二糖（两分子葡萄糖，存在于淀粉消化产物中）,Chapter 3 Biological molecules,中
sucrose,蔗糖,二糖（葡萄糖+果糖，常见于植物汁液）,Chapter 3 Biological molecules,中
lactose,乳糖,二糖（葡萄糖+半乳糖，存在于乳汁中）,Chapter 3 Biological molecules,高
polysaccharide,多糖,由多个单糖聚合形成的高分子化合物（如淀粉、纤维素）,Chapter 3 Biological molecules,中
glycogen,糖原,动物体内储存的多糖（分支结构，主要在肝脏和肌肉）,Chapter 3 Biological molecules,中
cellulose,纤维素,植物细胞壁的结构多糖（葡萄糖聚合而成）,Chapter 3 Biological molecules,中
starch,淀粉,植物储存的多糖（直链或支链结构，遇碘变蓝）,Chapter 3 Biological molecules,中
reducing sugars,还原糖,具有还原性的糖（如葡萄糖、麦芽糖，可与本尼迪特试剂反应）,Chapter 3 Biological molecules,中
base,碱基,核酸（DNA/RNA）的组成部分（如腺嘌呤、胸腺嘧啶）,Chapter 3 Biological molecules,高
complementary base pairing,互补碱基配对,核酸中碱基的特异性结合（如A-T，C-G）,Chapter 3 Biological molecules,高
nucleotides,核苷酸,核酸的基本单位（由碱基、五碳糖、磷酸组成）,Chapter 3 Biological molecules,高
DNA,脱氧核糖核酸,携带遗传信息的双螺旋分子,Chapter 3 Biological molecules,中
RNA,核糖核酸,参与蛋白质合成的单链分子（三种类型：mRNA、tRNA、rRNA）,Chapter 3 Biological molecules,中
amino acids,氨基酸,蛋白质的基本组成单位（20种，含氨基和羧基）,Chapter 3 Biological molecules,中
Iodine solution,碘液,用于检测淀粉的试剂（棕黄色，遇淀粉变蓝）,Chapter 3 Biological molecules,中
orange-brown,黄棕色,碘液的颜色（未与淀粉反应时）,Chapter 3 Biological molecules,低
water bath,水浴,实验室加热方法（均匀控温，如本尼迪特试剂检测）,Chapter 3 Biological molecules,低
brick red,砖红色,本尼迪特试剂与还原糖反应的颜色,Chapter 3 Biological molecules,低
benedict’s solution,本尼迪特试剂,检测还原糖的试剂（需水浴加热，生成砖红色沉淀）,Chapter 3 Biological molecules,中
fatty acid,脂肪酸,脂肪的组成部分（长链碳氢化合物，分饱和与不饱和）,Chapter 3 Biological molecules,中
Glycerol,甘油,脂肪的组成部分（三羟基醇）,Chapter 3 Biological molecules,中
adipose tissue,脂肪组织,储存脂肪的结缔组织（具有保温、缓冲功能）,Chapter 3 Biological molecules,中
insulation,绝缘,阻止热量或电流传递的特性（如脂肪组织的保温作用）,Chapter 3 Biological molecules,低
emulsion,乳状液,油与水混合形成的不稳定混合物,Chapter 3 Biological molecules,高
ethanol,酒精,乙醇（用于脂质检测的溶剂）,Chapter 3 Biological molecules,低
droplet,微滴,液体形成的小颗粒（如脂质检测中的油滴）,Chapter 3 Biological molecules,低
opaque,不透明,光线无法穿透的状态（如脂质乳化液）,Chapter 3 Biological molecules,低
transparent,透明,光线可穿透的状态,Chapter 3 Biological molecules,低
antibody,抗体,免疫系统产生的蛋白质（特异性结合抗原）,Chapter 3 Biological molecules,中
enzyme,酶,生物催化剂（大多为蛋白质，加速化学反应）,Chapter 3 Biological molecules,中
catalyst,催化剂,降低反应活化能的物质（自身不被消耗）,Chapter 3 Biological molecules,中
hemoglobin,血红蛋白,红细胞中运输氧气的蛋白质（含亚铁离子）,Chapter 3 Biological molecules,中
reagent,试剂,用于检测或反应的化学物质,Chapter 3 Biological molecules,低
bond,键,原子间的相互作用力（如共价键、离子键）,Chapter 3 Biological molecules,中
pathogen,病原体,引起疾病的微生物（如细菌、病毒）,Chapter 3 Biological molecules,中
vitamin,维他命,维持生命必需的微量有机物质（如维生素C、D）,Chapter 3 Biological molecules,低
biuret reagent,双缩脲试剂,检测蛋白质的试剂（与肽键反应呈紫色）,Chapter 3 Biological molecules,中
DCPIP,二氯酚靛酚,检测维生素C的氧化还原指示剂（蓝色，被还原后褪色）,Chapter 3 Biological molecules,高
potassium hydroxide solution,氢氧化钾溶液,强碱溶液（用于实验中的pH调节或反应）,Chapter 3 Biological molecules,高
copper sulfate solution,硫酸铜溶液,含铜离子的溶液（双缩脲试剂成分之一）,Chapter 3 Biological molecules,高
active site,活性位点,酶分子上与底物结合并催化反应的区域,Chapter 4 Enzymes,中
complementary,互补的,结构或功能相互匹配（如酶与底物的结合）,Chapter 4 Enzymes,中
enzyme–substrate complex,酶-底物复合物,酶与底物结合形成的中间产物,Chapter 4 Enzymes,高
enzymes,酶,见前文描述,Chapter 4 Enzymes,中
product,产物,化学反应的生成物质,Chapter 4 Enzymes,低
specificity,特异性,酶仅作用于特定底物的特性,Chapter 4 Enzymes,中
substrate,底物,酶催化反应的反应物,Chapter 4 Enzymes,中
optimum,最优的,酶活性最高的条件（如温度、pH）,Chapter 4 Enzymes,中
range,范围,酶保持活性的条件区间,Chapter 4 Enzymes,中
catalyze,催化,加速化学反应的过程,Chapter 4 Enzymes,低
catalase,过氧化氢酶,分解过氧化氢（H2O2）为水和氧气的酶,Chapter 4 Enzymes,高
hydrogen peroxide,过氧化氢,强氧化性化合物（H2O2，酶实验常用底物）,Chapter 4 Enzymes,中
carbohydrase,碳水化合物酶,分解碳水化合物的酶（如淀粉酶）,Chapter 4 Enzymes,高
amylase,淀粉酶,分解淀粉为麦芽糖的酶,Chapter 4 Enzymes,中
maltase,麦芽糖酶,分解麦芽糖为葡萄糖的酶,Chapter 4 Enzymes,高
sucrase,蔗糖酶,分解蔗糖为葡萄糖和果糖的酶,Chapter 4 Enzymes,高
protease,蛋白酶,分解蛋白质为氨基酸的酶,Chapter 4 Enzymes,中
lipase,酯酶,分解脂肪为甘油和脂肪酸的酶,Chapter 4 Enzymes,中
denaturation,变性,高温、极端pH等导致酶结构破坏的现象,Chapter 4 Enzymes,中
denature,变性,使蛋白质或酶结构破坏的过程,Chapter 4 Enzymes,中
denatured,变性的,结构已破坏的蛋白质或酶,Chapter 4 Enzymes,中
pepsin,胃蛋白酶,胃中分解蛋白质的酶（最适pH为酸性）,Chapter 4 Enzymes,高
acid,酸,pH小于7的物质（如盐酸、醋酸）,Chapter 4 Enzymes,低
alkali,碱,pH大于7的物质（如氢氧化钠、氢氧化钾）,Chapter 4 Enzymes,低
balanced diet,均衡营养/饮食,包含各类必需营养素的饮食,Chapter 5 Human nutrition,低
Mechanical digestion,机械性消化,通过咀嚼、蠕动等物理方式分解食物,Chapter 5 Human nutrition,中
Chemical digestion,化学性消化,通过酶的作用分解食物为小分子,Chapter 5 Human nutrition,中
digestion,消化,将食物分解为可吸收小分子的过程,Chapter 5 Human nutrition,中
absorption,吸收,营养物质通过消化道壁进入血液的过程,Chapter 5 Human nutrition,中
enamel,珐琅质,牙齿表面的坚硬保护层（主要成分为矿物质）,Chapter 5 Human nutrition,高
bile,胆汁,肝脏分泌的乳化脂肪的液体（储存在胆囊中）,Chapter 5 Human nutrition,中
bile duct,胆管,输送胆汁从肝脏到十二指肠的管道,Chapter 5 Human nutrition,高
duodenum,十二指肠,小肠起始段（接收胆汁和胰液）,Chapter 5 Human nutrition,高
gall bladder,胆囊,储存胆汁的囊状器官,Chapter 5 Human nutrition,高
pancreas,胰腺,分泌胰液（含消化酶）和激素（胰岛素、胰高血糖素）的器官,Chapter 5 Human nutrition,中
salivary glands,唾液腺,分泌唾液（含淀粉酶）的腺体,Chapter 5 Human nutrition,中
small intestine,小肠,消化和吸收的主要场所（分十二指肠、空肠、回肠）,Chapter 5 Human nutrition,中
stomach,胃,储存和初步消化食物的器官（分泌胃酸和胃蛋白酶）,Chapter 5 Human nutrition,中
villi,小肠绒毛,小肠内壁的指状突起，增加吸收面积,Chapter 5 Human nutrition,高
tongue,舌头,协助咀嚼、吞咽和味觉感知的肌肉器官,Chapter 5 Human nutrition,低
epiglottis,会厌,吞咽时防止食物进入气管的软骨结构,Chapter 5 Human nutrition,高
oesophagus,食道,连接咽喉和胃的肌肉管道,Chapter 5 Human nutrition,中
trachea,气管,连接喉和支气管的呼吸管道（含软骨环）,Chapter 5 Human nutrition,中
sphincter muscle,括约肌,控制器官开口闭合的肌肉（如胃幽门括约肌）,Chapter 5 Human nutrition,高
large intestine,大肠,吸收水分和形成粪便的肠道（分盲肠、结肠、直肠）,Chapter 5 Human nutrition,中
liver,肝脏,人体最大的消化腺（分泌胆汁、代谢物质）,Chapter 5 Human nutrition,中
pancreatic duct,胰腺管,输送胰液到十二指肠的管道,Chapter 5 Human nutrition,高
ileum,回肠,小肠末端部分（主要负责吸收）,Chapter 5 Human nutrition,高
colon,结肠,大肠主要部分（吸收水分、形成粪便）,Chapter 5 Human nutrition,高
rectum,直肠,大肠末端，储存粪便直至排出,Chapter 5 Human nutrition,高
caecum,盲肠,大肠起始处的盲囊（连接阑尾）,Chapter 5 Human nutrition,高
appendix,阑尾,盲肠的管状突起（免疫相关功能）,Chapter 5 Human nutrition,高
anus,肛门,消化道末端开口，排出粪便,Chapter 5 Human nutrition,低
emulsification,乳化,将大脂肪颗粒分解为小液滴的过程（如胆汁的作用）,Chapter 5 Human nutrition,中
insulin,胰岛素,胰腺分泌的降低血糖的激素,Chapter 5 Human nutrition,中
glucagon,胰高血糖素,胰腺分泌的升高血糖的激素,Chapter 5 Human nutrition,中
adrenaline,肾上腺素,肾上腺分泌的应激激素（提高代谢率）,Chapter 5 Human nutrition,中
peristalsis,蠕动,消化道肌肉的波浪式收缩（推动食物前进）,Chapter 5 Human nutrition,中
circulatory system,循环系统,运输血液、氧气、营养物质的系统,Chapter 6 Transport in animals,中
single circulatory system,单循环系统,血液经心脏一次循环完成（如鱼类）,Chapter 6 Transport in animals,高
double circulatory system,双循环系统,血液经心脏两次循环完成（如人类：体循环和肺循环）,Chapter 6 Transport in animals,中
oxygenated blood,含氧血液,含高浓度氧气的血液（动脉血）,Chapter 6 Transport in animals,中
deoxygenated blood,脱氧血液,含低浓度氧气的血液（静脉血）,Chapter 6 Transport in animals,中
artery,动脉,将血液从心脏输送到身体各处的血管（壁厚、弹性大）,Chapter 6 Transport in animals,中
vein,静脉,将血液从身体各处带回心脏的血管（壁薄、含瓣膜）,Chapter 6 Transport in animals,中
atria,心房,心脏接收血液的腔室（左心房、右心房）,Chapter 6 Transport in animals,中
ventricles,心室,心脏泵出血液的腔室（左心室、右心室）,Chapter 6 Transport in animals,中
Septum,隔膜,分隔心脏左右腔的肌肉壁,Chapter 6 Transport in animals,高
pulmonary veins,肺静脉,将含氧血液从肺部带回左心房的血管,Chapter 6 Transport in animals,高
aorta,主动脉,人体最大的动脉，将血液从左心室输送到全身,Chapter 6 Transport in animals,中
vena cava,上腔静脉,将身体上部脱氧血液带回右心房的大静脉,Chapter 6 Transport in animals,高
pulmonary artery,肺动脉,将脱氧血液从右心室输送到肺部的动脉,Chapter 6 Transport in animals,高
Bicuspid Valve,二尖瓣,左心房与左心室之间的瓣膜（防止血液逆流）,Chapter 6 Transport in animals,高
Aortic Valve,主动脉瓣,左心室与主动脉之间的瓣膜,Chapter 6 Transport in animals,高
Tricuspid Valve,三尖瓣,右心房与右心室之间的瓣膜,Chapter 6 Transport in animals,高
Pulmonary Valve,肺动脉瓣,右心室与肺动脉之间的瓣膜,Chapter 6 Transport in animals,高
haemoglobin,血红蛋白,红细胞中运输氧气的蛋白质（含亚铁离子）,Chapter 6 Transport in animals,中
plasma,血浆,血液中的液体部分（含水、蛋白质、营养物质等）,Chapter 6 Transport in animals,中
platelets,血小板,参与血液凝固的细胞碎片,Chapter 6 Transport in animals,中
red blood cells,红细胞,携带氧气的血细胞（含血红蛋白，无细胞核）,Chapter 6 Transport in animals,中
white blood cells,白细胞,参与免疫反应的血细胞（分多种类型）,Chapter 6 Transport in animals,中
pathogen,病原体,见前文描述,Chapter 7 Diseases and Immunity,中
influenza,流感,由流感病毒引起的呼吸道传染病,Chapter 7 Diseases and Immunity,低
common cold,感冒,由鼻病毒等引起的上呼吸道感染,Chapter 7 Diseases and Immunity,低
diarrhea,腹泻,肠道疾病导致的频繁稀便,Chapter 7 Diseases and Immunity,低
Poliomyelitis (polio),脊髓灰质炎,由脊髓灰质炎病毒引起的致残性疾病,Chapter 7 Diseases and Immunity,高
cholera,霍乱,由霍乱弧菌引起的急性肠道传染病（严重腹泻）,Chapter 7 Diseases and Immunity,高
tuberculosis,肺结核,由结核杆菌引起的呼吸道传染病（侵害肺部）,Chapter 7 Diseases and Immunity,高
tetanus,破伤风,由破伤风杆菌引起的感染（导致肌肉痉挛）,Chapter 7 Diseases and Immunity,高
rabies,狂犬病,由狂犬病毒引起的致命性脑炎（通过动物咬伤传播）,Chapter 7 Diseases and Immunity,高
transmissible disease,传染性疾病,可通过病原体传播的疾病,Chapter 7 Diseases and Immunity,中
direct contact,直接接触,通过身体接触传播疾病（如握手、性行为）,Chapter 7 Diseases and Immunity,低
indirect contact,间接接触,通过污染物、空气等传播疾病,Chapter 7 Diseases and Immunity,低
vector,携带者，载体,传播病原体的生物（如蚊子、跳蚤）,Chapter 7 Diseases and Immunity,中
mechanical barrier,机械性防线,身体阻挡病原体的物理结构（如皮肤、黏膜）,Chapter 7 Diseases and Immunity,中
chemical barrier,化学防线,体内杀灭病原体的化学物质（如胃酸、溶菌酶）,Chapter 7 Diseases and Immunity,中
hygiene,保健卫生,保持健康的清洁措施（如洗手、消毒）,Chapter 7 Diseases and Immunity,低
sewage,污水,生活废水（含病原体，需处理以防传播疾病）,Chapter 7 Diseases and Immunity,低
immune response,免疫反应,身体对抗病原体的防御机制,Chapter 7 Diseases and Immunity,中
active immunity,主动性免疫,通过自身免疫系统产生抗体的免疫（如疫苗接种）,Chapter 7 Diseases and Immunity,中
passive immunity,被动免疫,通过输入抗体获得的临时免疫（如母体抗体）,Chapter 7 Diseases and Immunity,中
lymphocyte,淋巴细胞,参与免疫的白细胞（分T细胞、B细胞等）,Chapter 7 Diseases and Immunity,高
memory cells,记忆细胞,记住病原体并快速反应的免疫细胞,Chapter 7 Diseases and Immunity,高
antigen,抗原,能引发免疫反应的外来物质（如病原体表面蛋白）,Chapter 7 Diseases and Immunity,中
antibody,抗体,见前文描述,Chapter 7 Diseases and Immunity,中
vaccine,疫苗,含弱化或灭活病原体的制剂（用于激发免疫反应）,Chapter 7 Diseases and Immunity,中
vaccination,接种疫苗,通过注射疫苗获得免疫力的过程,Chapter 7 Diseases and Immunity,中
aerobic respiration,有氧呼吸,需要氧气参与的呼吸作用（分解葡萄糖产生大量ATP）,Chapter 8 Respiration and Gas Exchange,中
anaerobic respiration,无氧呼吸,无需氧气的呼吸作用（分解葡萄糖产生少量ATP或乳酸/酒精）,Chapter 8 Respiration and Gas Exchange,中
gas exchange,气体交换,生物体与外界环境之间的氧气和二氧化碳交换过程,Chapter 8 Respiration and Gas Exchange,中
gas exchange surface,气体交换表面,进行气体交换的特化结构（如肺的肺泡、鳃的鳃丝）,Chapter 8 Respiration and Gas Exchange,高
lactic acid,乳酸,无氧呼吸的产物之一（人体肌肉细胞缺氧时产生）,Chapter 8 Respiration and Gas Exchange,中
goblet cell,杯状细胞,分泌黏液的上皮细胞（如呼吸道、消化道中）,Chapter 8 Respiration and Gas Exchange,高
cilia,纤毛,细胞表面的细小毛状结构（用于摆动推动黏液或颗粒）,Chapter 8 Respiration and Gas Exchange,高
larynx,喉,连接咽和气管的结构（含声带，负责发声）,Chapter 8 Respiration and Gas Exchange,中
trachea,气管,连接喉和支气管的呼吸管道（含软骨环维持形状）,Chapter 8 Respiration and Gas Exchange,中
cartilage,软骨,坚韧的结缔组织（如气管、耳廓中的支撑结构）,Chapter 8 Respiration and Gas Exchange,中
bronchus,支气管,气管分支进入肺部的管道（分为左右主支气管）,Chapter 8 Respiration and Gas Exchange,中
bronchiole,细支气管,支气管的细小分支（无软骨，平滑肌控制管径）,Chapter 8 Respiration and Gas Exchange,高
alveoli,肺泡,肺部微小气囊（气体交换场所，壁薄且富含毛细血管）,Chapter 8 Respiration and Gas Exchange,中
diaphragm,隔膜,分隔胸腔和腹腔的肌肉层（参与呼吸运动）,Chapter 8 Respiration and Gas Exchange,中
rib,肋骨,胸腔的骨骼结构（保护内脏并参与呼吸运动）,Chapter 8 Respiration and Gas Exchange,低
external intercostal muscle,肋间外肌,肋骨之间的肌肉（收缩时提升肋骨，协助吸气）,Chapter 8 Respiration and Gas Exchange,高
internal intercostal muscle,肋间内肌,肋骨之间的肌肉（收缩时降低肋骨，协助呼气）,Chapter 8 Respiration and Gas Exchange,高
Inspiration,吸气,呼吸过程中空气进入肺部的动作,Chapter 8 Respiration and Gas Exchange,中
Expiration,呼气,呼吸过程中空气排出肺部的动作,Chapter 8 Respiration and Gas Exchange,中
yeast,酵母菌,单细胞真菌（可进行有氧或无氧呼吸，用于发酵）,Chapter 8 Respiration and Gas Exchange,低
alcohol,酒精,乙醇（某些生物无氧呼吸的产物，如酵母菌）,Chapter 8 Respiration and Gas Exchange,低
soda lime,碱石灰,吸收二氧化碳的化学试剂（常用于实验）,Chapter 8 Respiration and Gas Exchange,高
parafilm,封口膜,实验室用封口材料（密封容器防止污染）,Chapter 8 Respiration and Gas Exchange,高
pipette,滴管,用于移取少量液体的工具,Chapter 8 Respiration and Gas Exchange,低
glass rod,玻璃棒,实验室常用搅拌或引流工具,Chapter 8 Respiration and Gas Exchange,低
larvae,幼虫,动物发育的幼体阶段（如蝴蝶的毛毛虫）,Chapter 8 Respiration and Gas Exchange,低
gauze,网子,多孔材料（用于过滤或覆盖）,Chapter 8 Respiration and Gas Exchange,低
rubber stopper,橡胶塞,密封容器的橡胶制品,Chapter 8 Respiration and Gas Exchange,低
combustion,燃烧,剧烈的氧化反应（释放热量和二氧化碳）,Chapter 8 Respiration and Gas Exchange,低
composition,组成,物质的构成成分,Chapter 8 Respiration and Gas Exchange,低
debt,债务,此处指“氧债”（无氧呼吸后需补充的氧气量）,Chapter 8 Respiration and Gas Exchange,高
excretion,排泄,生物体排出代谢废物的过程（如尿素、二氧化碳）,Chapter 9 Excretion,中
egestion,排泄,排出未消化食物残渣的过程（即排便）,Chapter 9 Excretion,高
urea,尿素,蛋白质代谢的主要废物（经肾脏排出）,Chapter 9 Excretion,中
urine,尿液,肾脏产生的液体废物（含尿素、无机盐等）,Chapter 9 Excretion,低
deamination,脱氨基,分解氨基酸时去除氨基的过程（产生尿素）,Chapter 9 Excretion,高
ureter,输尿管,连接肾脏和膀胱的管道（输送尿液）,Chapter 9 Excretion,中
bladder,膀胱,储存尿液的肌性囊状器官,Chapter 9 Excretion,中
urethra,尿道,将尿液从膀胱排出体外的管道,Chapter 9 Excretion,中
renal vein,肾静脉,将处理后的血液从肾脏带回心脏的静脉,Chapter 9 Excretion,高
renal artery,肾动脉,将血液输送到肾脏的动脉（含丰富氧气和废物）,Chapter 9 Excretion,高
medulla,髓质,器官的内层组织（如肾脏髓质含肾小管）,Chapter 9 Excretion,高
cortex,皮质,器官的外层组织（如肾脏皮质含肾小体）,Chapter 9 Excretion,高
nephron,肾元,肾脏的基本功能单位（负责过滤和重吸收）,Chapter 9 Excretion,高
glomerulus,肾小球,肾元中毛细血管组成的滤过结构（位于肾小囊内）,Chapter 9 Excretion,高
dialysis,透析,通过半透膜清除血液中废物的过程（如人工肾）,Chapter 9 Excretion,中
fluid,液体,此处指体内的体液（如血液、组织液）,Chapter 9 Excretion,低
pelvis,肾盂,肾脏内连接输尿管的漏斗状结构（收集尿液）,Chapter 9 Excretion,高
central nervous system (CNS),中枢神经系统,包括脑和脊髓（负责处理和传递信息）,Chapter 10 Coordination,中
brain,脑,中枢神经系统的主要部分（控制思维、运动等功能）,Chapter 10 Coordination,低
spinal cord,脊髓,中枢神经系统的组成部分（传递神经信号，控制反射）,Chapter 10 Coordination,中
peripheral nervous system (PNS),外周神经系统,由脑和脊髓以外的神经组成（连接身体各部分）,Chapter 10 Coordination,高
neurone,神经元,神经细胞（传递神经冲动的基本单位）,Chapter 10 Coordination,中
